word,mean,median,var,count
somebody,0.275502463525,0.265742014922,0.257575378112,23
agree,0.278604945693,0.423325750817,0.22120255807,9
unfortunately,0.279771236191,0.386676468957,0.135826219066,12
oops,0.279831552819,0.351256277372,0.368500338018,12
peace,0.280092538345,0.156665693404,0.289844239562,13
anybody,0.28075637816,0.205953210454,0.270373399729,23
hurt,0.282600911814,0.240231532066,0.272332354652,23
everybody,0.28263886379,0.189127626056,0.394665226751,23
fetch,0.283456671473,0.161092625776,0.584925858819,12
care,0.283516603856,0.186564410473,0.284361841806,22
age,0.284132608275,0.244103665783,0.33328296347,21
quick,0.284174412815,0.316481848721,0.357154874069,23
nicer,0.28675003093,0.443937015142,0.371086446664,16
ask,0.287878816454,0.263378555469,0.41827453448,23
interesting,0.287917783916,0.221490344894,0.364655901906,22
lost,0.28804633662,0.15862075307,0.235485685265,23
what're,0.288219921669,0.104330235951,0.295063166316,22
happens,0.288538287245,0.278009999493,0.351059628649,22
strong,0.290716343503,0.178867787522,0.466426332495,22
started,0.290858159802,0.118117307547,0.463711869848,23
afraid,0.291103051395,0.14772284257,0.382816608632,23
business,0.293928301547,0.289569159293,0.162621768446,14
problem,0.294062724581,0.371672295505,0.295568865422,23
gave,0.294215888314,0.269807590649,0.226708507773,23
heavy,0.295872098482,0.0949729965101,0.304518612703,23
sort,0.295882327298,0.261214936126,0.29670496231,23
picked,0.296205126932,0.358720420055,0.420547180197,23
brought,0.296253928195,0.270807548122,0.188978430436,23
using,0.296635632846,0.106660216638,0.590813445568,23
younger,0.298405229455,0.115436198512,0.274856881057,9
emptied,0.29855146108,0.141823053336,0.197024801741,9
filling,0.298555254767,0.126722183382,0.488426796992,12
upstairs,0.300226982807,0.234673461487,0.420369904259,23
attention,0.300290358133,0.475008268262,0.273667525825,17
co_op,0.301238903131,0.5593287624,1.14403648439,4
complete,0.302619225481,0.249615301551,0.167976287412,11
further,0.304023028993,0.197120820042,0.297396394075,19
lots_of,0.304385102154,0.263837631405,0.19463371789,23
usually,0.304629871825,0.391877963158,0.365123998452,23
watching,0.304658333685,0.29648345089,0.348816014447,23
explain,0.305200545719,0.308422610327,0.577687378777,13
split,0.305242458023,0.303684903549,0.105718418865,12
rack,0.305399044361,0.173389111575,0.43379085831,5
taken,0.305887826428,0.268606247297,0.448952511332,22
won't,0.305938446932,0.139330238424,0.345548998484,19
lovely,0.306404998168,0.321949395167,0.279720423655,21
clear,0.306584630785,0.483760243886,0.446422465369,21
small,0.307733850992,0.202645484145,0.242950671371,23
box,0.309733919645,0.254901022335,0.181861425171,23
dangling,0.310068174501,0.390212538197,0.17657180364,7
seen,0.3102647097,0.357874374566,0.366361617793,23
spotted,0.310857189922,0.247216842748,0.24998111224,15
easy,0.311442379057,0.403609361485,0.407100146329,22
worked,0.311936578053,0.259610952987,0.127542235594,17
thank,0.312798875499,0.276452115299,0.153916002325,16
guess,0.313008544942,0.433818947238,0.313769916248,23
made,0.314316184995,0.332166298151,0.190080220207,23
sounded,0.314411775486,0.406312819783,0.353660537735,14
forgotten,0.314842905195,0.313963423664,0.346705983623,18
learning,0.315029509598,0.184713497285,0.65799740505,14
www,0.315097247679,0.182102311385,0.235373024825,19
luck,0.31511593928,0.334722744085,0.344803473487,18
announcement,0.315171404932,0.200003443378,0.528305794411,5
receiver,0.315314512177,0.204661734885,0.12293192678,3
ready,0.315377669573,0.185095075521,0.338767662975,23
everytime,0.316100689045,0.218542361006,0.41373177198,11
mummy,0.316325826652,0.33495118503,0.209790059698,17
uhoh,0.316473204058,0.338019123557,0.231500542039,19
today's,0.31712646409,0.252031356186,0.271216852788,8
he'll,0.317366767272,0.178975458087,0.374118563157,23
channel,0.318192451987,0.172132830835,0.306384014785,7
real,0.318857111308,0.33391121209,0.353371044408,23
awhile,0.319661341351,0.482326530728,0.319283510923,11
picking,0.320331382176,0.236754469772,0.350752082933,23
